,0,1
0,2020-11-16,-4.58%
1,2020-11-09,-0.46%
2,2020-11-02,-5.28%
3,2020-10-26,-3.27%
4,2020-10-19,8.44%
5,2020-10-12,9.91%
6,2020-10-05,-6.65%
7,2020-09-28,-7.19%
8,2020-09-21,-9.84%
9,2020-09-14,9.98%
10,2020-09-07,-11.31%
11,2020-08-31,11.18%
12,2020-08-24,-9.84%
13,2020-08-17,0.42%
14,2020-08-10,1.05%
15,2020-08-03,5.92%
16,2020-07-27,10.79%
17,2020-07-20,-3.78%
18,2020-07-13,-14.08%
19,2020-07-06,19.36%
20,2020-06-29,-13.98%
21,2020-06-22,-8.1%
22,2020-06-15,5.14%
23,2020-06-08,-1.35%
24,2020-06-01,4.9%
25,2020-05-25,9.37%
26,2020-05-18,-10.34%
27,2020-05-11,-5.39%
28,2020-05-04,4.22%
29,2020-04-27,-7.42%
30,2020-04-20,10.15%
31,2020-04-13,13.22%
32,2020-04-06,-25.21%
33,2020-03-30,37.83%
34,2020-03-23,12.81%
35,2020-03-16,-28.98%
36,2020-03-09,12.34%
37,2020-03-02,-24.19%
38,2020-02-24,1.16%
39,2020-02-17,22.94%
40,2020-02-10,-10.69%
41,2020-02-03,8.28%
42,2020-01-27,-19.92%
43,2020-01-20,8.15%
44,2020-01-13,-24.57%
45,2020-01-06,4.66%
46,2019-12-30,-25.29%
47,2019-12-23,12.61%
48,2019-12-16,-8.92%
49,2019-12-09,1.93%
50,2019-12-02,1.23%
51,2019-11-25,6.22%
52,2019-11-18,-14.32%
53,2019-11-11,3.25%
54,2019-11-04,-11.99%
55,2019-10-28,10.71%
56,2019-10-21,-0.72%
57,2019-10-14,-8.81%
58,2019-10-07,5.25%
59,2019-09-30,-10.16%
60,2019-09-23,16.77%
61,2019-09-16,-7.05%
62,2019-09-09,3.06%
63,2019-09-02,-13.11%
64,2019-08-26,10.3%
65,2019-08-19,-2.15%
66,2019-08-12,-3.51%
67,2019-08-05,4.75%
68,2019-07-29,-16.15%
69,2019-07-22,2.04%
70,2019-07-15,-0.63%
71,2019-07-08,-5.6%
0,2019-07-01,
1,2020-11-16,-86.34%
2,2020-11-09,55.15%
3,2020-11-02,10.19%
4,2020-10-26,-19.0%
5,2020-10-19,13.3%
6,2020-10-12,-5.12%
7,2020-10-05,-3.16%
8,2020-09-28,-12.26%
9,2020-09-21,1.68%
10,2020-09-14,8.33%
11,2020-09-07,-0.47%
12,2020-08-31,3.94%
13,2020-08-24,-0.72%
14,2020-08-17,-6.95%
15,2020-08-10,0.9%
16,2020-08-03,0.23%
17,2020-07-27,6.12%
18,2020-07-20,-5.8%
19,2020-07-13,-1.37%
20,2020-07-06,2.25%
21,2020-06-29,0.23%
22,2020-06-22,-6.93%
23,2020-06-15,2.59%
24,2020-06-08,1.33%
25,2020-06-01,-1.57%
26,2020-05-25,17.92%
27,2020-05-18,2.7%
28,2020-05-11,-16.07%
29,2020-05-04,2.39%
30,2020-04-27,17.11%
31,2020-04-20,-26.55%
32,2020-04-13,7.46%
33,2020-04-06,-6.3%
